Sr.No,Category,Name,Description,Size,Size Units,Color,Sale Price,Discount Price
1,Neon Sign,Apple,Apple Bite,10 x 13,Inches,Red & Skyblue,1400,1200
2,Neon Sign,Baloons ,Bunch Of Baloons,14 x 18,Inches,Multicolour,3000,2700
3,Neon Sign,Beer-Mug,Foaming Beer Mug,12 x 10,Inches,Yellow & White,1800,1600
4,Neon Sign,Better Together,Romantic Gift Sign,12 x 24,Inches,Skyblue & Pink,3000,2700
5,Neon Sign,Butterfly,Cute Butterfly,10 x 12,Inches,Orange,1400,1200
6,Neon Sign,Cactus,Indoor Plant feel,7 x 12,Inches,Green & Orange,1400,1200
7,Neon Sign,Candle,Candle Warmth ,6 x 12,Inches,Red & Yellow,1400,1200
8,Neon Sign,Deer,A Running Deer,12 x 12,Inches,Yellow ,1400,1200
9,Neon Sign,Doctor ,Doctor Sign ,9 x 24,Inches,Skyblue,3999,2900
10,Neon Sign,Ghost ,Kids Ghost,10 x 12,Inches,Skyblue & White,1500,1300
11,Neon Sign,Girl Power,Beauty with Power,26 x 22,Inches,Skyblue & Pink,5500,5000
12,Neon Sign,Honeybee,Kids Honey Bee,12 x 12,Inches,Yellow & White,2000,1800
13,Neon Sign,King fisher,King Fisher,10 x 13,Inches,Multicolour,1400,1200
14,Neon Sign,Leaf Green,Leaf Green,12 x 12,Inches,Green,1400,1200
15,Neon Sign,Leaf White,Leaf White,10 x 14,Inches,Warm White,1500,1300
16,Neon Sign,Lemon,Orange,10 x 12,Inches,Orange,1400,1200
17,Neon Sign,Love,Love Sign ,12 x 16,Inches,RED & Yellow,2000,1800
18,Neon Sign,Music,Musical Sign,16 x 27,Inches,Multicolour,5500,5000
19,Neon Sign,Paw ,Cute Pup Pow,12 x 12,Inches,Pink,1800,1500
20,Neon Sign,Thumbs Up,Thumbs Up,9 x 12,Inches,Blue,1400,1200
21,Neon Sign,Welcome,Welcome Door Sign,10 x 20,Inches,Skyblue,2700,2400
22,Neon Sign,Yo,Yo Trendy,10 x 15,Inches,Orange,2000,1800
23,Neon Sign,Yoga,Yoga for Health,16 x 19,Inches,Yellow & Pink,4000,3600
24,Neon Sign,Happy Birthday 1BR,Birthday Sign,18 x 24,Inches,Multicolour,5500,5000
25,Neon Sign,Open Sign,We are Open!,10 x 20,Inches,Multicolour,2700,2400
